,shop_id,plu,start_of_interval_abscence,end_of_interval_abscence,interval_length
13549,6,357601,2020-01-17 09:00:18,2020-01-17 10:00:26,0 days 01:00:08
14491,6,705566,2020-01-28 23:00:42,2020-01-31 23:59:59,3 days 00:59:17
30565,10,718714,2020-01-27 12:00:44,2020-01-28 06:00:26,0 days 17:59:42
